2048	3	0   0
398	87	777	778
399	777	778	779
400	20	439	379
401	126	780	379
402	156	780	439
403	780	439	379
404	62	440	552
405	212	781	552
406	156	781	440
407	781	440	552
408	47	380	551
409	212	782	551
410	126	782	380
411	782	380	551
412	212	781	782
413	126	780	782
414	156	780	781
415	780	781	782
416	10	437	303
417	88	783	303
418	155	783	437
419	783	437	303
420	62	438	554
421	213	784	554
422	155	784	438
423	784	438	554
424	28	304	553
425	213	785	553
426	88	785	304
427	785	304	553
428	213	784	785
429	88	783	785
430	155	783	784
431	783	784	785
432	62	554	552
433	212	786	552
434	213	786	554
435	786	554	552
436	28	553	549
437	211	787	549
438	213	787	553
439	787	553	549
440	47	551	550
441	211	788	550
442	212	788	551
443	788	551	550
444	211	787	788
445	212	786	788
446	213	786	787
447	786	787	788
448	20	435	439
449	156	789	439
450	154	789	435
451	789	435	439
452	61	436	555
453	214	790	555
454	154	790	436
455	790	436	555
456	62	440	556
457	214	791	556
458	156	791	440
459	791	440	556
460	214	790	791
461	156	789	791
462	154	789	790
463	789	790	791
464	10	429	437
465	155	792	437
466	151	792	429
467	792	429	437
468	60	430	557
469	215	793	557
470	151	793	430
471	793	430	557
472	62	438	558
473	215	794	558
474	155	794	438
475	794	438	558
476	215	793	794
477	155	792	794
478	151	792	793
479	792	793	794
480	11	431	433
481	153	795	433
482	152	795	431
483	795	431	433
484	60	432	559
485	216	796	559
486	152	796	432
487	796	432	559
488	61	434	560
489	216	797	560
490	153	797	434
491	797	434	560
492	216	796	797
493	153	795	797
494	152	795	796
495	795	796	797
496	60	559	557
497	215	798	557
498	216	798	559
499	798	559	557
500	61	560	555
501	214	799	555
502	216	799	560
503	799	560	555
504	62	558	556
505	214	800	556
506	215	800	558
507	800	558	556
508	214	799	800
509	215	798	800
510	216	798	799
511	798	799	800
512	2	313	329
513	101	801	329
514	93	801	313
515	801	313	329
516	31	314	561
517	217	802	561
518	93	802	314
519	802	314	561
520	35	330	562
521	217	803	562
522	101	803	330
523	803	330	562
524	217	802	803
525	101	801	803
526	93	801	802
527	801	802	803
528	14	443	331
529	102	804	331
530	158	804	443
531	804	443	331
532	63	444	564
533	218	805	564
534	158	805	444
