128	3	0   0
0	0	33	25
1	9	57	25
2	13	57	33
3	57	33	25
4	6	34	46
5	19	58	46
6	13	58	34
7	58	34	46
8	4	26	45
9	19	59	45
10	9	59	26
11	59	26	45
12	19	58	59
13	9	57	59
14	13	57	58
15	57	58	59
16	1	29	27
17	10	60	27
18	11	60	29
19	60	29	27
20	5	30	48
21	20	61	48
22	11	61	30
23	61	30	48
24	4	28	47
25	20	62	47
26	10	62	28
27	62	28	47
28	20	61	62
29	10	60	62
30	11	60	61
31	60	61	62
32	2	31	35
33	14	63	35
34	12	63	31
35	63	31	35
36	5	32	49
37	21	64	49
38	12	64	32
39	64	32	49
40	6	36	50
41	21	65	50
42	14	65	36
43	65	36	50
44	21	64	65
45	14	63	65
46	12	63	64
47	63	64	65
48	5	49	48
49	20	66	48
50	21	66	49
51	66	49	48
52	6	50	46
53	19	67	46
54	21	67	50
55	67	50	46
56	4	47	45
57	19	68	45
58	20	68	47
59	68	47	45
60	19	67	68
61	20	66	68
62	21	66	67
63	66	67	68
64	0	41	33
65	13	69	33
66	17	69	41
67	69	41	33
68	8	42	52
69	22	70	52
70	17	70	42
71	70	42	52
72	6	34	51
73	22	71	51
74	13	71	34
75	71	34	51
76	22	70	71
77	13	69	71
78	17	69	70
79	69	70	71
80	2	37	35
81	14	72	35
82	15	72	37
83	72	37	35
84	7	38	54
85	23	73	54
86	15	73	38
87	73	38	54
88	6	36	53
89	23	74	53
90	14	74	36
91	74	36	53
92	23	73	74
93	14	72	74
94	15	72	73
95	72	73	74
96	3	39	43
97	18	75	43
98	16	75	39
99	75	39	43
100	7	40	55
101	24	76	55
102	16	76	40
103	76	40	55
104	8	44	56
105	24	77	56
106	18	77	44
107	77	44	56
108	24	76	77
109	18	75	77
110	16	75	76
111	75	76	77
112	7	55	54
113	23	78	54
114	24	78	55
115	78	55	54
116	8	56	52
117	22	79	52
118	24	79	56
119	79	56	52
120	6	53	51
121	22	80	51
122	23	80	53
123	80	53	51
124	22	79	80
125	23	78	80
126	24	78	79
127	78	79	80
