512	3	0   0
0	0	81	97
1	33	193	97
2	25	193	81
3	193	81	97
4	9	82	145
5	57	194	145
6	25	194	82
7	194	82	145
8	13	98	146
9	57	195	146
10	33	195	98
11	195	98	146
12	57	194	195
13	33	193	195
14	25	193	194
15	193	194	195
16	6	123	99
17	34	196	99
18	46	196	123
19	196	123	99
20	19	124	148
21	58	197	148
22	46	197	124
23	197	124	148
24	13	100	147
25	58	198	147
26	34	198	100
27	198	100	147
28	58	197	198
29	34	196	198
30	46	196	197
31	196	197	198
32	4	121	83
33	26	199	83
34	45	199	121
35	199	121	83
36	19	122	150
37	59	200	150
38	45	200	122
39	200	122	150
40	9	84	149
41	59	201	149
42	26	201	84
43	201	84	149
44	59	200	201
45	26	199	201
46	45	199	200
47	199	200	201
48	19	150	148
49	58	202	148
50	59	202	150
51	202	150	148
52	9	149	145
53	57	203	145
54	59	203	149
55	203	149	145
56	13	147	146
57	57	204	146
58	58	204	147
59	204	147	146
60	57	203	204
61	58	202	204
62	59	202	203
63	202	203	204
64	1	85	89
65	29	205	89
66	27	205	85
67	205	85	89
68	10	86	151
69	60	206	151
70	27	206	86
71	206	86	151
72	11	90	152
73	60	207	152
74	29	207	90
75	207	90	152
76	60	206	207
77	29	205	207
78	27	205	206
79	205	206	207
80	5	127	91
81	30	208	91
82	48	208	127
83	208	127	91
84	20	128	154
85	61	209	154
86	48	209	128
87	209	128	154
88	11	92	153
89	61	210	153
90	30	210	92
91	210	92	153
92	61	209	210
93	30	208	210
94	48	208	209
95	208	209	210
96	4	125	87
97	28	211	87
98	47	211	125
99	211	125	87
100	20	126	156
101	62	212	156
102	47	212	126
103	212	126	156
104	10	88	155
105	62	213	155
106	28	213	88
107	213	88	155
108	62	212	213
109	28	211	213
110	47	211	212
111	211	212	213
112	20	156	154
113	61	214	154
114	62	214	156
115	214	156	154
116	10	155	151
117	60	215	151
118	62	215	155
119	215	155	151
120	11	153	152
121	60	216	152
122	61	216	153
123	216	153	152
124	60	215	216
125	61	214	216
126	62	214	215
127	214	215	216
128	2	101	93
129	31	217	93
130	35	217	101
131	217	101	93
132	14	102	158
133	63	218	158
134	35	218	102
135	218	102	158
136	12	94	157
137	63	219	157
138	31	219	94
139	219	94	157
140	63	218	219
141	31	217	219
142	35	217	218
143	217	218	219
144	5	129	95
145	32	220	95
146	49	220	129
147	220	129	95
148	21	130	160
149	64	221	160
150	49	221	130
151	221	130	160
152	12	96	159
153	64	222	159
154	32	222	96
155	222	96	159
156	64	221	222
157	32	220	222
158	49	220	221
159	220	221	222
160	6	131	103
161	36	223	103
162	50	223	131
163	223	131	103
164	21	132	162
165	65	224	162
166	50	224	132
167	224	132	162
168	14	104	161
169	65	225	161
170	36	225	104
171	225	104	161
172	65	224	225
173	36	223	225
174	50	223	224
175	223	224	225
176	21	162	160
177	64	226	160
178	65	226	162
179	226	162	160
180	14	161	158
181	63	227	158
182	65	227	161
183	227	161	158
184	12	159	157
185	63	228	157
186	64	228	159
187	228	159	157
188	63	227	228
189	64	226	228
190	65	226	227
191	226	227	228
192	5	127	129
193	49	229	129
194	48	229	127
195	229	127	129
196	20	128	163
197	66	230	163
198	48	230	128
199	230	128	163
200	21	130	164
201	66	231	164
202	49	231	130
203	231	130	164
204	66	230	231
205	49	229	231
206	48	229	230
207	229	230	231
208	6	123	131
209	50	232	131
210	46	232	123
