32768	3	0   0
0	0	4353	4225
1	1089	10497	4225
2	1153	10497	4353
3	10497	4353	4225
4	321	4354	7426
5	2689	10498	7426
6	1153	10498	4354
7	10498	4354	7426
8	289	4226	7425
9	2689	10499	7425
10	1089	10499	4226
11	10499	4226	7425
12	2689	10498	10499
13	1089	10497	10499
14	1153	10497	10498
15	10497	10498	10499
16	81	5889	4227
17	1090	10500	4227
18	1921	10500	5889
19	10500	5889	4227
20	705	5890	7428
21	2690	10501	7428
22	1921	10501	5890
23	10501	5890	7428
24	289	4228	7427
25	2690	10502	7427
26	1090	10502	4228
27	10502	4228	7427
28	2690	10501	10502
29	1090	10500	10502
30	1921	10500	10501
31	10500	10501	10502
32	97	5891	4355
33	1154	10503	4355
34	1922	10503	5891
35	10503	5891	4355
36	705	5892	7430
37	2691	10504	7430
38	1922	10504	5892
39	10504	5892	7430
40	321	4356	7429
41	2691	10505	7429
42	1154	10505	4356
43	10505	4356	7429
44	2691	10504	10505
45	1154	10503	10505
46	1922	10503	10504
47	10503	10504	10505
48	705	7430	7428
49	2690	10506	7428
50	2691	10506	7430
51	10506	7430	7428
52	321	7429	7426
53	2689	10507	7426
54	2691	10507	7429
55	10507	7429	7426
56	289	7427	7425
57	2689	10508	7425
58	2690	10508	7427
59	10508	7427	7425
60	2689	10507	10508
61	2690	10506	10508
62	2691	10506	10507
63	10506	10507	10508
64	33	4357	5125
65	1539	10509	5125
66	1155	10509	4357
67	10509	4357	5125
68	322	4358	7431
69	2692	10510	7431
70	1155	10510	4358
71	10510	4358	7431
72	514	5126	7432
73	2692	10511	7432
74	1539	10511	5126
75	10511	5126	7432
76	2692	10510	10511
77	1539	10509	10511
78	1155	10509	10510
79	10509	10510	10511
80	193	5895	5127
81	1540	10512	5127
82	1924	10512	5895
83	10512	5895	5127
84	706	5896	7434
85	2693	10513	7434
86	1924	10513	5896
87	10513	5896	7434
88	514	5128	7433
89	2693	10514	7433
90	1540	10514	5128
91	10514	5128	7433
92	2693	10513	10514
93	1540	10512	10514
94	1924	10512	10513
95	10512	10513	10514
96	97	5893	4359
97	1156	10515	4359
98	1923	10515	5893
99	10515	5893	4359
100	706	5894	7436
101	2694	10516	7436
102	1923	10516	5894
103	10516	5894	7436
104	322	4360	7435
105	2694	10517	7435
106	1156	10517	4360
107	10517	4360	7435
108	2694	10516	10517
109	1156	10515	10517
110	1923	10515	10516
111	10515	10516	10517
112	706	7436	7434
113	2693	10518	7434
114	2694	10518	7436
115	10518	7436	7434
116	322	7435	7431
117	2692	10519	7431
118	2694	10519	7435
119	10519	7435	7431
120	514	7433	7432
121	2692	10520	7432
122	2693	10520	7433
123	10520	7433	7432
124	2692	10519	10520
125	2693	10518	10520
126	2694	10518	10519
127	10518	10519	10520
128	25	4229	5121
129	1537	10521	5121
130	1091	10521	4229
131	10521	4229	5121
132	290	4230	7437
133	2695	10522	7437
134	1091	10522	4230
135	10522	4230	7437
136	513	5122	7438
137	2695	10523	7438
138	1537	10523	5122
139	10523	5122	7438
140	2695	10522	10523
141	1537	10521	10523
142	1091	10521	10522
143	10521	10522	10523
144	193	5899	5123
145	1538	10524	5123
146	1926	10524	5899
147	10524	5899	5123
148	707	5900	7440
149	2696	10525	7440
150	1926	10525	5900
151	10525	5900	7440
152	513	5124	7439
153	2696	10526	7439
154	1538	10526	5124
155	10526	5124	7439
156	2696	10525	10526
157	1538	10524	10526
158	1926	10524	10525
159	10524	10525	10526
160	81	5897	4231
161	1092	10527	4231
162	1925	10527	5897
163	10527	5897	4231
164	707	5898	7442
165	2697	10528	7442
166	1925	10528	5898
167	10528	5898	7442
168	290	4232	7441
169	2697	10529	7441
170	1092	10529	4232
171	10529	4232	7441
172	2697	10528	10529
173	1092	10527	10529
174	1925	10527	10528
175	10527	10528	10529
176	707	7442	7440
177	2696	10530	7440
178	2697	10530	7442
179	10530	7442	7440
180	290	7441	7437
181	2695	10531	7437
182	2697	10531	7441
183	10531	7441	7437
184	513	7439	7438
185	2695	10532	7438
186	2696	10532	7439
187	10532	7439	7438
188	2695	10531	10532
189	2696	10530	10532
190	2697	10530	10531
191	10530	10531	10532
192	193	5895	5899
193	1926	10533	5899
194	1924	10533	5895
195	10533	5895	5899
196	706	5896	7443
197	2698	10534	7443
198	1924	10534	5896
199	10534	5896	7443
200	707	5900	7444
201	2698	10535	7444
202	1926	10535	5900
203	10535	5900	7444
204	2698	10534	10535
205	1926	10533	10535
206	1924	10533	10534
207	10533	10534	10535
208	81	5889	5897
209	1925	10536	5897
210	1921	10536	5889
211	10536	5889	5897
212	705	5890	7445
213	2699	10537	7445
214	1921	10537	5890
215	10537	5890	7445
216	707	5898	7446
217	2699	10538	7446
218	1925	10538	5898
219	10538	5898	7446
220	2699	10537	10538
221	1925	10536	10538
222	1921	10536	10537
223	10536	10537	10538
224	97	5891	5893
225	1923	10539	5893
226	1922	10539	5891
227	10539	5891	5893
228	705	5892	7447
229	2700	10540	7447
230	1922	10540	5892
231	10540	5892	7447
232	706	5894	7448
233	2700	10541	7448
234	1923	10541	5894
235	10541	5894	7448
236	2700	10540	10541
237	1923	10539	10541
238	1922	10539	10540
239	10539	10540	10541
240	705	7447	7445
241	2699	10542	7445
242	2700	10542	7447
243	10542	7447	7445
244	706	7448	7443
245	2698	10543	7443
246	2700	10543	7448
247	10543	7448	7443
248	707	7446	7444
249	2698	10544	7444
250	2699	10544	7446
251	10544	7446	7444
252	2698	10543	10544
253	2699	10542	10544
254	2700	10542	10543
255	10542	10543	10544
